,name,price,shop
133,"['小米生态', '鼠标套装米物无线办公键鼠套装一键切换双系统全尺寸静音防泼溅即插即 白色 标准']",['87.99'],['岸越数码旗舰店']
134,"['\t\n暴狼客牧马人发光游戏', '鼠标套装有线悬浮机械手感键鼠套装台式电脑笔记本外接USB', ' 黑色彩虹背光', '+牧马人静音鼠标']",['69.00'],['宏创数码专营店']
135,"['前行者游戏背光发光牧马人真机械手感', '鼠标套装吃鸡键鼠台式有线薄膜网吧外设电脑笔记本办公套外接', ' 牧马人白色彩虹背光', '+七彩白鼠标']",['63.60'],['敏涛数码专营店']
136,"['\t\n黑爵（Ajiazz） 机械战士 3色背光', ' 高端机械手感游戏背光', ' 办公 电脑 笔记本']",['49.00'],['黑爵京东自营官方旗舰店']
137,"['\t\n灵蛇（LINGSHE）有线键鼠套装 办公键鼠套装  防水鼠标', '套装MK200黑色']",['26.90'],['灵蛇京东自营旗舰店']
138,"['优派（ViewSonic）KU100', '  有线', ' 办公', ' 全尺寸 电脑', ' 笔记本', ' 黑色']",['29.90'],['优派键鼠京东自营旗舰店']
139,"['\t\n惠普（HP）CS10无线', '鼠标套装 笔记本台式电脑通用办公键鼠套装 白色']",['79.00'],['惠普外设京东自营旗舰店']
140,"['\t\n优想U510发光炫彩游戏', '鼠标套装 有线金属悬浮防水键鼠套装 办公电脑笔记本', ' USB外设吃鸡', ' 灰黑色']",['79.00'],['优想京东自营旗舰店']
141,"['\t\n罗技（Logitech）K845 机械', ' 有线', ' 游戏办公', ' 全尺寸 单光 黑色 TTC轴 青轴']",['299.00'],['罗技京东自营旗舰店']
142,"['\t\nikbc C87 机械', ' 有线', ' 游戏', ' 87键 原厂cherry轴 樱桃轴 吃鸡神器 笔记本', ' 白色 静音红轴']",['348.00'],['ikbc京东自营旗舰店']
143,"['\t\nikbc C87 机械', ' 有线', ' 游戏', ' 87键 原厂cherry轴 樱桃轴 吃鸡神器 笔记本', ' 黑色 青轴']",['318.00'],['ikbc京东自营旗舰店']
144,"['B.FRIENDit 巧克力', ' 铝合金面板 超薄静音', ' 有线外接电脑', ' RGB背光游戏办公', ' 太空灰']",['238.00'],['BFRIENDit键鼠官方旗舰店']
145,"['\t\n雷蛇 Razer 猎魂光蛛竞技版 线性光轴 机械', ' 有线', ' 游戏', ' 87键 RGB幻彩 电竞 黑色']",['769.00'],['雷蛇（Razer）京东自营官方旗舰店']
146,"['\t\nikbc W210 机械', ' 2.4G无线 游戏', ' 108键 cherry轴 樱桃轴 无线机械', ' 黑色 茶轴']",['498.00'],['ikbc京东自营旗舰店']
147,"['\t\n狼蛛（AULA）F2088 机械', ' 有线', ' 游戏', ' 104键背光混光朋克 电脑', ' 笔记本', ' 黑色 茶轴']",['169.00'],['狼蛛外设京东自营官方旗舰店']
148,"['\t\nikbc C104侧刻 机械', ' 有线', ' 游戏', ' 104键 原厂cherry轴 樱桃轴 笔记本', ' 白色 茶轴']",['359.00'],['ikbc京东自营旗舰店']
149,"['联想（lenovo）', ' 有线', ' 办公', ' 巧克力', ' 电脑', ' 笔记本', ' K5819单', ' 黑色']",['69.00'],['联想京东自营旗舰店']
150,"['达尔优EK812 104键混光有线静音机械', ' 游戏', ' 电竞', '（全键无冲 吃鸡', ' 鼠标套装） 升级版-104键-黑色青轴']",['219.00'],['达尔优官方旗舰店']
151,"['\t\n达尔优（dareu）DK100 机械', ' 有线', ' 游戏', ' 87键 无光 双色注塑 电脑', ' 黑色青轴']",['99.00'],['达尔优京东自营旗舰店']
152,"['\t\n罗技（Logitech）K380 ', ' 无线蓝牙', ' 办公', ' 女性 便携 超薄', ' 笔记本', ' 红色']",['179.00'],['罗技京东自营旗舰店']
153,"['\t\nAOC KB701', ' 无线蓝牙', ' 办公', ' 静音超薄便携', ' 可充电 平板IPAD笔记本苹果MAC电脑', ' 灰色']",['109.00'],['AOC外设京东自营旗舰店']
154,"['\t\nikbc W210 机械', ' 2.4G无线 游戏', ' 108键 原厂cherry轴 樱桃轴 无线机械', ' 黑色 静音红轴']",['568.00'],['ikbc京东自营旗舰店']
155,"['\t\n罗技（Logitech）K845 机械', ' 有线', ' 办公', ' 游戏G610', ' 全尺寸 单光 黑色 Cherry樱桃青轴']",['459.00'],['罗技京东自营旗舰店']
156,"['戴尔（DELL） 有线', '鼠标套装 笔记本电脑办公USB巧克力键鼠套装套件 KB216+MS116 黑色']",['69.00'],['戴尔外设京东自营旗舰店']
157,"['\t\n达尔优（dareu）机械师合金版机械', ' 有线', ' 游戏', ' 108键单光', ' 电脑', '  吃鸡', ' 黑金茶轴']",['149.00'],['达尔优京东自营旗舰店']
158,"['联想（lenovo）有线', '鼠标套装 办公鼠标', '套装 M120Pro有线键鼠套装 电脑', '笔记本']",['99.00'],['联想京东自营旗舰店']
159,"['\t\n美商海盗船 (USCORSAIR) K68 机械', ' 有线连接 游戏', ' 全尺寸 蓝色背光 IP32防护 黑色 樱桃青轴']",['549.00'],['美商海盗船京东自营旗舰店']
160,"['ikbc  R300 白光 108键 cherry轴 游戏', ' 有线机械', ' 全尺寸背光机械', ' 黑色 黑轴']",['338.00'],['ikbc京东自营旗舰店']
161,"['\t\n达尔优（dareu）机械师合金版机械', ' 有线', ' 游戏', ' 108键混光  全键无冲 吃鸡', '  黑银黑轴']",['159.00'],['达尔优京东自营旗舰店']
162,"['\t\nikbc W210 机械', ' 2.4G无线 游戏', ' 108键 cherry轴 樱桃轴 无线机械', ' 白色 青轴']",['498.00'],['ikbc京东自营旗舰店']
163,"['\t\nikbc C104 机械', ' 有线', ' 游戏', ' 104键 原厂cherry轴 樱桃轴 吃鸡 笔记本', ' 黑色 静音红轴']",['388.00'],['ikbc京东自营旗舰店']
164,['\t\n飞利浦（PHILIPS） SPT6201W 键鼠套装 有线键鼠套装 办公键鼠套装 巧克力键帽 即插即用 白色'],['49.90'],['飞利浦外设京东自营旗舰店']
165,"['\t\nikbc C210 机械', ' 有线', ' 游戏', ' 108键 cherry轴 樱桃轴  笔记本', ' 粉色 青轴']",['488.00'],['ikbc京东自营旗舰店']
166,"['\t\n雷蛇(Razer)猎魂光蛛 机械', ' 有线', ' 游戏', ' 104键 RGB 电竞 cf吃鸡LPL', ' 黑色 光轴']",['769.00'],['雷蛇（Razer）京东自营官方旗舰店']
